Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P125560,C 15 MRI IMAGING & DIAGNOSTICS RESEARCH CENTRE LTD,NCT OF Delhi,NEW DELHI,9312401885,-NA-,,Only CGHS,Yes
HOSP7P125561,CAPITAL X-RAY &  SCAN CLINIC,NCT OF Delhi,NEW DELHI,9911226464,-NA-,,Only CGHS,Yes
HOSP7P125565,CLINICAL DIAGNOSTIC CENTRE,NCT OF Delhi,EAST DELHI,9599022927,"M1, M7",Private(For Profit),Only CGHS,Yes
HOSP7P125584,DOCTORS DIAGNOSTIC CENTRE,NCT OF Delhi,NEW DELHI,9990217338,-NA-,,Only CGHS,Yes
HOSP7P125586,DR ANAND S IMAGING CENTRE- PREET VIHAR,NCT OF Delhi,NEW DELHI,9810554229,-NA-,,Only CGHS,Yes
HOSP7P125589,DR LAL PATH LABS LTD - ROHINI,NCT OF Delhi,NEW DELHI,8527999142,-NA-,,Only CGHS,No
HOSP7P125595,DR S S DODA S ULTRASOUND CENTRE-PUSA ROAD,NCT OF Delhi,NEW DELHI,9643106754,-NA-,,Only CGHS,Yes
HOSP7P125596,DR SAVITA JAIN S ARUN IMAGING CENTRE,NCT OF Delhi,SHAHDARA,9810933379,-NA-,,Only CGHS,Yes
HOSP7P125612,HEALTHIANS LABS,NCT OF Delhi,NEW DELHI,9728873009,-NA-,,Only CGHS,No
HOSP7P125621,GAGAN PATHOLOGY AND IMAGING PVT LTD,NCT OF Delhi,NEW DELHI,9971557167,-NA-,,Only CGHS,Yes
HOSP7P125626,GANESH MRI CENTRE PVT LTD,NCT OF Delhi,NEW DELHI,9212125996,S12,Private(For Profit),Only CGHS,Yes
HOSP7P125628,GOYAL MRI & DIAGNOSTIC CENTRE-SAFDARJUNG,NCT OF Delhi,NEW DELHI,9810287191,-NA-,,Only CGHS,Yes
HOSP7P125657,NATIONAL IMAGING & PATH LABS,NCT OF Delhi,NEW DELHI,9899467826,-NA-,,Only CGHS,Yes
HOSP7P125667,PLATINUM IMAGING CENTRE,NCT OF Delhi,NEW DELHI,9891603919,-NA-,,Only CGHS,Yes
HOSP7P125675,REAL IMAGING AND RESEARCH CENTRE LLP,NCT OF Delhi,EAST DELHI,9871341821,-NA-,,Only CGHS,No
HOSP7P126133,Advance Diagnostic Centre,NCT OF Delhi,SHAHDARA,9716560450,-NA-,,Only CGHS,Yes
