Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP13P170085,ESCORT HEART INSTITUTE AND RESEARCH CENTRE,NCT OF Delhi,SOUTH DELHI,9958145318,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(For Profit),State Specific Empanelment,No
HOSP37G19512,Safdarjung Hospital,NCT OF Delhi,SOUTH WEST DELHI,9968057359,"M1, M2, S8, M7, S7, M3, M4, M5, M6, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",GOI,PMJAY,No
HOSP37G25541,Kalawati Saran Children Hospital,NCT OF Delhi,CENTRAL DELHI,9818837214,"M2, M3, M4, S14",GOI,PMJAY,No
HOSP37G28616,Lady Hardinge Medical College & SSK Hospital,NCT OF Delhi,CENTRAL DELHI,9013435940,"M1, M2, S8, M7, S1, S14, S16, S2, S3, S4, S5, M6",GOI,PMJAY,No
HOSP37G31478,Dr. Ram Manohar Lohia Hospital,NCT OF Delhi,CENTRAL DELHI,9818402394,"M1, M2, S8, M7, S7, M3, S1, S10, S11, S12, S13, S14, S16, S2, S3, S4, S5, S6, S9",GOI,PMJAY,No
HOSP37G36554,"All India Institute of Medical Sciences, New Delhi",NCT OF Delhi,SOUTH WEST DELHI,9355872488,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",GOI,PMJAY,No
HOSP37G70071,NATIONAL INSTITUTE OF TUBERCULOSIS AND RESPIRATORY DISEASES,NCT OF Delhi,NEW DELHI,9818844709,M1,Public,PMJAY,No
HOSP37P65284,Cygnus MLS Superspeciality Hospital,NCT OF Delhi,NEW DELHI,9990998837,"M1, M7, M2, S1, S12, S2, S3, S4, S5",Private(For Profit),PMJAY,No
HOSP37P68815,CENTRE FOR SIGHT Safdarjung Enclave ,NCT OF Delhi,NEW DELHI,9958422442,S3,Private(For Profit),PMJAY,No
HOSP37P71155,KALRA HOSPITAL SRCNC PVT LTD,NCT OF Delhi,WEST DELHI,9891445937,"M1, M2, S8, M7, S7, S1, S13, S16, S2, S3, S4, S5, S6, S9",Private(For Profit),PMJAY,No
